timestamp,accX,accY,accZ
2.0,0.21,-0.86,9.97
15.0,0.14,-0.65,8.15
28.0,0.18,-0.82,9.78
41.0,0.2,-0.89,10.1
54.0,0.21,-0.9,10.13
66.0,0.23,-0.87,10.11
79.0,0.26,-0.82,10.04
92.0,0.23,-0.8,9.98
105.0,0.16,-0.82,9.96
118.0,0.14,-0.86,10.01
131.0,0.16,-0.86,10.04
144.0,0.21,-0.83,10.12
157.0,0.22,-0.79,10.1
169.0,0.24,-0.76,10.03
182.0,0.23,-0.74,9.95
195.0,0.23,-0.74,9.97
208.0,0.22,-0.8,9.99
221.0,0.2,-0.86,10.05
234.0,0.22,-0.88,10.11
247.0,0.25,-0.89,10.18
259.0,0.24,-0.88,10.12
272.0,0.26,-0.84,10.07
285.0,0.25,-0.79,10.04
298.0,0.24,-0.76,10.01
311.0,0.24,-0.77,10.04
324.0,0.23,-0.78,10.12
337.0,0.35,-0.78,10.27
349.0,0.31,-0.82,10.21
362.0,0.13,-0.89,10.05
375.0,0.03,-0.92,9.96
388.0,0.07,-0.86,9.95
401.0,0.12,-0.76,9.92
414.0,0.09,-0.69,9.85
427.0,0.05,-0.64,9.78
439.0,0.04,-0.62,9.85
452.0,0.06,-0.69,9.99
465.0,0.06,-0.77,10.04
478.0,0.04,-0.85,9.98
491.0,0.04,-0.83,9.98
504.0,0.04,-0.83,9.92
517.0,0.08,-0.77,9.98
529.0,0.14,-0.74,10.03
542.0,0.23,-0.74,10.12
555.0,0.26,-0.72,10.12
568.0,0.25,-0.76,10.06
581.0,0.19,-0.78,10.0
594.0,0.09,-0.81,9.94
607.0,0.02,-0.85,9.95
619.0,0.04,-0.89,10.01
632.0,0.13,-0.87,10.15
645.0,0.26,-0.83,10.22
658.0,0.36,-0.75,10.18
671.0,0.37,-0.67,10.08
684.0,0.36,-0.64,9.99
697.0,0.27,-0.68,9.92
709.0,0.15,-0.79,9.96
722.0,0.06,-0.88,10.0
735.0,0.03,-0.95,10.07
748.0,0.08,-0.95,10.11
761.0,0.15,-0.88,10.13
774.0,0.21,-0.8,10.07
787.0,0.33,-0.7,10.04
799.0,0.35,-0.65,10.0
812.0,0.29,-0.68,9.97
825.0,0.16,-0.76,10.03
838.0,0.07,-0.86,10.02
851.0,0.02,-0.91,10.04
864.0,0.08,-0.9,10.08
877.0,0.17,-0.82,10.1
889.0,0.23,-0.78,10.08
902.0,0.24,-0.74,9.99
915.0,0.26,-0.72,9.99
928.0,0.29,-0.72,10.03
941.0,0.25,-0.78,10.05
954.0,0.18,-0.82,10.03
967.0,0.18,-0.86,10.07
979.0,0.17,-0.9,10.04
992.0,0.17,-0.87,10.07
1005.0,0.17,-0.85,10.07
1018.0,0.21,-0.82,10.07
1031.0,0.28,-0.77,10.11
1044.0,0.31,-0.73,10.04
1057.0,0.28,-0.75,10.0
1069.0,0.25,-0.78,10.0
1082.0,0.22,-0.81,10.03
1095.0,0.16,-0.84,10.03
1108.0,0.17,-0.83,10.03
1121.0,0.18,-0.85,10.09
1134.0,0.24,-0.81,10.13
1147.0,0.3,-0.8,10.09
1159.0,0.35,-0.75,10.06
1172.0,0.3,-0.72,10.04
1185.0,0.29,-0.71,10.1
1198.0,0.28,-0.71,10.14
1211.0,0.18,-0.79,10.04
1224.0,0.04,-0.83,9.97
1237.0,-0.0,-0.83,9.93
1249.0,0.06,-0.82,10.04
1262.0,0.16,-0.79,10.15
1275.0,0.18,-0.82,10.1
1288.0,0.21,-0.8,10.05
1301.0,0.25,-0.78,10.04
1314.0,0.27,-0.74,10.07
1327.0,0.23,-0.73,10.08
1339.0,0.16,-0.76,9.99
1352.0,0.09,-0.79,9.96
1365.0,0.06,-0.85,10.0
1378.0,0.07,-0.87,10.04
1391.0,0.07,-0.87,10.04
1404.0,0.06,-0.82,9.99
1417.0,0.05,-0.79,9.88
1429.0,0.08,-0.74,9.86
1442.0,0.17,-0.72,10.01
1455.0,0.15,-0.75,10.06
1468.0,0.11,-0.78,10.0
1481.0,0.08,-0.81,10.01
1494.0,0.04,-0.81,9.97
1507.0,0.08,-0.79,9.96
1519.0,0.2,-0.76,10.05
1532.0,0.31,-0.73,10.14
1545.0,0.27,-0.7,10.03
1558.0,0.22,-0.71,9.98
1571.0,0.15,-0.73,9.99
1584.0,0.05,-0.79,9.95
1597.0,0.06,-0.83,10.03
1609.0,0.06,-0.87,10.08
1622.0,0.15,-0.88,10.1
1635.0,0.28,-0.81,10.18
1648.0,0.35,-0.77,10.11
1661.0,0.3,-0.73,10.02
1674.0,0.22,-0.75,9.98
1687.0,0.15,-0.78,9.94
