timestamp,accX,accY,accZ
2.0,0.39,1.07,-0.09
15.0,0.28,0.94,-0.06
28.0,0.19,1.06,-0.05
41.0,0.03,0.68,0.69
54.0,-0.08,0.1,1.95
66.0,-0.04,-0.56,3.36
79.0,-0.07,-1.08,4.55
92.0,-0.04,-1.26,4.9
105.0,0.04,-1.29,4.95
118.0,0.06,-1.3,5.32
131.0,0.49,-1.2,6.34
144.0,0.51,-1.6,7.74
157.0,0.78,-2.17,9.86
169.0,0.84,-2.36,11.43
182.0,0.65,-2.28,11.91
195.0,0.12,-2.28,12.3
208.0,-0.06,-2.26,13.45
221.0,0.11,-2.63,15.36
234.0,0.38,-3.13,17.38
247.0,0.31,-3.27,18.61
259.0,0.11,-3.14,19.26
272.0,-0.11,-3.11,19.61
285.0,-0.1,-3.15,19.61
298.0,-0.33,-3.21,19.61
311.0,-0.62,-3.77,19.61
324.0,-0.91,-4.41,19.61
337.0,-1.09,-4.9,19.61
350.0,-0.9,-4.89,19.61
362.0,-0.43,-4.43,19.61
375.0,0.17,-3.76,19.61
388.0,0.78,-3.06,17.58
401.0,1.09,-2.52,15.58
414.0,1.11,-2.28,13.89
427.0,0.84,-2.24,12.56
440.0,0.63,-2.04,11.08
452.0,0.58,-1.73,9.55
465.0,0.76,-1.49,8.09
478.0,0.98,-1.35,7.03
491.0,1.23,-1.32,6.53
504.0,1.13,-1.28,6.06
517.0,0.97,-1.05,5.45
530.0,0.7,-0.78,4.64
542.0,0.41,-0.45,3.78
555.0,0.11,-0.11,2.99
568.0,-0.08,0.25,2.19
581.0,-0.17,0.62,1.46
594.0,-0.12,0.9,0.74
607.0,0.05,0.83,0.56
620.0,0.32,0.53,0.84
632.0,0.23,0.2,1.02
645.0,-0.12,-0.02,1.13
658.0,-0.26,-0.1,1.36
671.0,-0.23,0.08,1.36
684.0,-0.23,0.49,0.98
697.0,-0.06,0.76,0.71
710.0,0.38,0.57,1.24
722.0,0.82,-0.07,2.64
735.0,0.9,-0.85,3.97
748.0,0.67,-1.32,5.01
761.0,0.25,-1.65,5.8
774.0,0.11,-2.08,6.73
787.0,0.28,-2.23,7.4
800.0,0.15,-2.26,7.46
812.0,0.2,-2.18,8.13
825.0,0.3,-2.22,9.39
838.0,0.28,-2.59,10.9
851.0,0.01,-2.98,12.43
864.0,0.07,-3.32,14.17
877.0,0.19,-3.63,16.26
890.0,0.37,-3.89,18.25
902.0,0.17,-4.03,19.43
915.0,-0.01,-3.82,19.61
928.0,0.01,-3.65,19.61
941.0,0.28,-3.67,19.61
954.0,0.55,-3.9,19.61
967.0,0.44,-4.21,19.61
980.0,0.41,-4.55,19.61
992.0,0.11,-4.89,19.61
1005.0,0.16,-4.79,19.61
1018.0,0.48,-4.33,19.61
1031.0,0.63,-3.89,18.93
1044.0,0.65,-3.63,17.49
1057.0,0.62,-3.43,16.23
1070.0,0.33,-3.4,14.96
1082.0,0.08,-3.31,13.44
1095.0,-0.02,-2.96,11.61
1108.0,-0.03,-2.49,9.69
1121.0,0.08,-2.01,7.97
1134.0,0.84,-1.74,7.17
1147.0,1.46,-1.68,7.25
1160.0,1.67,-1.49,6.56
1172.0,1.18,-1.11,5.23
1185.0,0.62,-0.71,3.89
1198.0,0.24,-0.45,3.03
1211.0,0.11,-0.14,2.54
1224.0,0.14,0.11,2.04
1237.0,0.17,0.26,1.86
1250.0,0.01,0.33,1.55
1262.0,-0.07,0.29,1.06
1275.0,-0.39,0.28,0.56
1288.0,-0.7,0.22,0.42
1301.0,-0.86,0.32,0.23
1314.0,-0.69,0.49,-0.04
1327.0,-0.44,0.66,0.05
1340.0,-0.17,0.76,0.34
1352.0,0.21,0.73,0.82
1365.0,0.56,0.5,1.62
1378.0,0.78,0.08,2.52
1391.0,1.05,-0.24,3.74
1404.0,1.16,-0.52,4.8
1417.0,0.85,-1.1,5.71
1429.0,0.27,-1.41,6.1
1442.0,-0.08,-1.23,5.68
1455.0,0.05,-1.07,5.72
1468.0,0.66,-1.46,7.35
1481.0,1.22,-2.13,9.24
1494.0,1.01,-2.68,11.07
1507.0,-0.04,-3.08,12.0
1520.0,-0.93,-3.43,12.21
1532.0,-0.98,-3.8,13.58
1545.0,-0.3,-4.12,16.21
1558.0,0.52,-4.18,18.47
1571.0,0.94,-4.07,19.61
1584.0,1.28,-3.84,19.61
1597.0,1.38,-3.97,19.61
