timestamp,accX,accY,accZ
2.0,0.74,-1.7,14.37
15.0,0.56,-1.2,11.53
28.0,0.54,-1.37,13.59
41.0,0.19,-1.31,13.76
54.0,-0.15,-1.28,13.53
67.0,-0.57,-1.17,13.21
79.0,-0.74,-1.25,13.1
92.0,-0.65,-1.32,13.13
105.0,-0.41,-1.09,13.02
118.0,-0.14,-0.87,12.95
131.0,0.24,-0.72,12.88
144.0,0.42,-0.67,13.12
157.0,0.81,-1.07,14.1
169.0,0.79,-1.52,15.08
182.0,0.57,-1.96,15.65
195.0,0.37,-2.39,16.13
208.0,0.03,-2.87,16.48
221.0,-0.22,-3.08,16.65
234.0,-0.07,-3.12,16.81
247.0,0.4,-2.85,16.7
260.0,0.84,-2.43,16.25
272.0,1.03,-2.27,15.52
285.0,1.05,-2.35,15.4
298.0,0.93,-2.6,15.09
311.0,0.59,-2.77,14.67
324.0,0.19,-2.7,13.69
337.0,-0.14,-2.42,12.39
350.0,-0.23,-1.98,10.98
362.0,-0.0,-1.49,9.85
375.0,0.23,-0.93,8.57
388.0,0.31,-0.44,7.42
401.0,0.16,-0.02,6.41
414.0,0.17,0.36,5.68
427.0,0.38,0.48,5.54
440.0,1.19,0.46,6.55
452.0,2.03,0.2,7.73
465.0,2.14,-0.01,8.0
478.0,1.39,-0.11,7.4
491.0,0.48,-0.01,6.42
504.0,0.26,0.18,5.8
517.0,-0.06,0.41,4.83
529.0,0.06,0.99,3.79
542.0,0.51,1.57,3.23
555.0,0.87,1.79,2.9
568.0,0.94,1.67,3.07
581.0,0.62,1.39,3.37
594.0,0.13,1.08,3.48
607.0,-0.39,0.98,3.25
619.0,-0.68,1.08,3.2
632.0,-0.78,1.26,3.09
645.0,-0.69,1.4,2.89
658.0,-0.12,1.4,3.13
671.0,0.37,1.27,3.61
684.0,0.58,0.98,4.16
697.0,0.42,0.5,5.05
709.0,0.2,-0.07,6.26
722.0,-0.13,-0.45,7.38
735.0,0.02,-0.66,8.48
748.0,0.42,-0.68,9.2
761.0,0.71,-0.65,9.33
774.0,0.74,-0.69,9.57
787.0,0.29,-0.79,10.41
799.0,-0.01,-0.92,11.42
812.0,-0.01,-1.33,12.55
825.0,0.36,-1.65,13.91
838.0,1.13,-1.89,14.98
851.0,1.59,-1.73,15.02
864.0,1.63,-1.57,14.45
877.0,1.33,-1.38,13.71
889.0,1.05,-1.03,13.22
902.0,0.9,-1.09,13.43
915.0,0.81,-1.54,14.32
928.0,0.42,-2.15,15.14
941.0,-0.29,-2.62,15.28
954.0,-0.79,-2.67,15.03
967.0,-1.0,-2.53,14.68
979.0,-0.78,-2.23,14.52
992.0,-0.31,-2.01,14.64
1005.0,0.03,-1.89,14.75
1018.0,0.14,-1.81,14.54
1031.0,0.15,-1.56,14.27
1044.0,0.24,-1.37,14.23
1057.0,0.42,-1.37,14.5
1070.0,0.78,-1.43,14.63
1082.0,0.85,-1.46,14.75
1095.0,1.32,-1.54,15.03
1108.0,1.56,-2.08,16.57
1121.0,1.36,-2.99,18.24
1134.0,0.6,-3.67,18.66
1147.0,-0.4,-3.94,17.55
1160.0,-0.9,-3.41,15.34
1172.0,-0.88,-2.51,13.4
1185.0,-0.32,-1.46,11.32
1198.0,-0.44,-0.78,9.37
1211.0,-0.82,-0.59,8.24
1224.0,-1.27,-0.89,7.77
1237.0,-1.16,-0.96,7.27
1250.0,0.03,-1.01,6.64
1263.0,1.01,-0.71,6.61
1275.0,1.08,-0.41,6.05
1288.0,0.12,-0.25,5.02
1301.0,-0.72,-0.19,4.22
1314.0,-0.89,0.16,3.64
1327.0,-0.56,0.67,3.18
1340.0,-0.15,1.28,2.61
1353.0,0.39,1.73,2.11
1365.0,1.29,1.85,1.97
1378.0,1.98,1.79,2.34
1391.0,1.98,1.5,2.83
1404.0,1.05,1.08,2.93
1417.0,0.06,0.86,2.94
1430.0,-0.46,0.86,3.09
1442.0,-0.47,0.89,3.36
1455.0,0.21,0.96,3.83
1468.0,0.81,1.14,3.84
1481.0,1.12,1.24,3.93
1494.0,1.2,1.04,4.3
1507.0,1.09,0.66,5.35
