timestamp,accX,accY,accZ
2.0,1.43,-1.58,12.4
15.0,0.77,-1.71,10.79
28.0,0.26,-2.32,12.91
41.0,-0.07,-2.18,12.73
54.0,0.14,-1.69,12.26
67.0,0.76,-0.93,11.55
79.0,1.82,-0.66,12.06
92.0,2.31,-0.86,13.29
105.0,2.1,-1.5,14.45
118.0,1.23,-2.13,15.01
131.0,0.33,-2.33,15.02
144.0,-0.14,-2.13,14.87
157.0,0.01,-1.7,14.97
169.0,0.5,-1.35,15.45
182.0,0.81,-1.13,15.97
195.0,0.84,-1.05,16.29
208.0,0.34,-1.34,17.18
221.0,0.1,-1.77,17.79
234.0,0.26,-1.81,17.85
247.0,0.84,-1.5,17.91
259.0,1.49,-1.3,18.27
272.0,1.88,-1.29,18.61
285.0,1.83,-1.34,17.93
298.0,1.63,-1.54,17.03
311.0,1.39,-1.58,15.54
324.0,1.17,-1.3,13.71
337.0,1.03,-0.72,11.52
349.0,0.98,-0.23,9.53
362.0,0.83,-0.03,8.1
375.0,0.66,-0.29,7.51
388.0,0.55,-0.52,6.89
401.0,0.55,-0.57,5.92
414.0,0.65,-0.52,5.39
427.0,0.79,-0.6,5.23
439.0,0.68,-0.76,5.28
452.0,0.48,-0.81,5.16
465.0,0.28,-0.82,4.71
478.0,0.39,-0.63,4.36
491.0,0.82,-0.19,3.9
504.0,1.12,0.25,3.19
517.0,1.25,0.59,2.58
529.0,1.21,0.71,2.05
542.0,1.15,0.59,1.84
555.0,0.99,0.14,2.45
568.0,0.76,-0.42,3.2
581.0,0.45,-0.76,3.79
594.0,0.21,-0.9,4.3
606.0,0.08,-0.93,4.7
619.0,-0.06,-0.67,4.49
632.0,-0.05,-0.2,3.81
645.0,0.32,0.1,4.09
658.0,1.03,-0.03,5.06
671.0,1.67,-0.35,6.11
684.0,1.82,-0.81,7.61
696.0,1.57,-1.15,8.84
709.0,1.1,-1.11,9.03
722.0,0.85,-0.68,8.28
735.0,0.97,-0.38,8.24
748.0,1.3,-0.77,9.41
761.0,1.24,-1.41,10.85
774.0,1.14,-1.84,12.2
787.0,0.84,-2.13,13.03
799.0,0.6,-2.31,13.41
812.0,0.53,-2.51,13.53
825.0,0.62,-2.54,13.93
838.0,0.76,-2.02,13.89
851.0,1.1,-1.62,14.06
864.0,1.35,-1.63,14.9
877.0,1.47,-2.03,15.49
889.0,1.24,-2.5,15.88
902.0,0.93,-2.81,16.23
915.0,0.84,-2.9,16.36
928.0,1.04,-2.8,16.45
941.0,1.31,-2.71,16.55
954.0,1.37,-2.75,16.83
967.0,1.27,-2.99,17.08
979.0,0.88,-3.34,17.4
992.0,0.5,-3.8,17.92
1005.0,0.51,-4.01,18.01
1018.0,0.84,-3.89,17.76
1031.0,1.33,-3.66,17.43
1044.0,1.79,-3.49,17.11
1057.0,2.14,-3.28,16.4
1069.0,2.27,-2.91,15.22
1082.0,2.12,-2.39,13.58
1095.0,1.84,-1.98,11.97
1108.0,1.57,-1.81,10.7
1121.0,1.34,-1.69,9.45
1134.0,1.15,-1.43,7.81
1147.0,1.0,-0.97,6.41
1159.0,1.02,-0.58,5.59
1172.0,0.98,-0.58,5.15
1185.0,0.69,-0.78,4.97
1198.0,0.36,-0.83,4.5
1211.0,0.23,-0.68,3.84
1224.0,0.37,-0.31,3.46
1237.0,0.61,0.0,3.04
1249.0,0.82,0.15,2.84
1262.0,1.04,0.25,2.93
1275.0,1.1,0.35,2.94
1288.0,1.23,0.54,2.7
1301.0,1.35,0.64,2.63
1314.0,1.47,0.7,2.53
1326.0,1.42,0.59,2.44
1339.0,1.14,0.4,2.64
1352.0,1.03,0.18,3.4
1365.0,0.94,0.01,4.14
1378.0,0.85,-0.03,4.26
1391.0,0.96,0.11,4.22
1403.0,1.48,0.19,4.79
1416.0,2.14,0.18,5.75
1429.0,2.48,0.11,6.35
1442.0,2.28,-0.06,6.61
1455.0,1.59,-0.29,6.8
1468.0,1.02,-0.44,7.22
1481.0,1.07,-0.5,7.85
1493.0,1.62,-0.34,8.13
1506.0,2.14,-0.18,8.4
1519.0,2.54,-0.26,9.49
1532.0,2.81,-0.81,11.49
1545.0,2.26,-1.57,12.94
1558.0,1.08,-2.05,13.12
1571.0,-0.13,-2.08,12.44
1583.0,-0.37,-1.9,12.35
1596.0,0.06,-1.93,13.63
1609.0,0.28,-2.2,14.92
1622.0,0.13,-2.5,15.52
1635.0,-0.53,-2.71,15.83
1648.0,-1.2,-2.81,15.7
1661.0,-1.57,-2.83,15.44
1674.0,-1.4,-2.55,15.1
1686.0,-0.79,-1.97,14.65
1699.0,-0.13,-1.43,14.49
1712.0,0.5,-1.29,15.05
1725.0,0.77,-1.75,16.42
1738.0,0.56,-2.38,17.38
1751.0,0.07,-2.95,17.88
1764.0,-0.08,-3.22,17.97
1776.0,0.18,-3.17,17.73
1789.0,0.46,-3.03,17.36
1802.0,0.8,-3.17,17.58
1815.0,1.4,-3.53,18.37
1828.0,1.75,-3.99,18.74
1841.0,1.6,-4.19,18.02
1854.0,1.31,-3.94,16.18
1867.0,1.29,-3.15,13.89
1879.0,1.59,-2.17,11.69
1892.0,1.98,-1.27,9.73
1905.0,2.06,-0.71,8.17
1918.0,1.82,-0.4,6.95
1931.0,1.68,-0.35,6.32
1944.0,1.66,-0.69,6.59
1957.0,1.52,-1.24,7.13
1969.0,1.22,-1.56,6.75
1982.0,0.72,-1.39,5.65
1995.0,0.38,-0.81,4.24
2008.0,0.2,-0.18,3.18
2021.0,0.43,0.26,2.66
2034.0,0.69,0.69,2.36
2046.0,1.13,0.93,2.29
2059.0,1.31,1.1,2.25
2072.0,1.32,1.16,2.18
2085.0,1.24,0.92,2.21
2098.0,0.94,0.61,2.48
2111.0,0.65,0.3,2.55
2124.0,0.42,0.23,2.59
2136.0,0.47,0.45,2.43
2149.0,0.62,0.71,2.53
2162.0,0.7,0.8,2.95
2175.0,0.96,0.57,3.44
