timestamp,accX,accY,accZ
2.0,0.85,-1.3,6.54
15.0,0.51,-1.11,5.33
28.0,0.47,-1.35,6.12
41.0,0.26,-1.34,6.11
54.0,0.24,-1.07,5.93
67.0,0.41,-0.51,5.15
79.0,0.33,0.01,3.76
92.0,0.52,0.45,2.49
105.0,0.89,0.9,1.72
118.0,0.96,1.15,1.26
131.0,0.83,1.05,0.89
144.0,0.57,0.71,1.3
156.0,0.38,0.17,2.56
169.0,0.26,-0.47,4.13
182.0,0.24,-0.72,4.42
195.0,0.16,-0.65,4.48
208.0,0.09,-0.34,4.18
221.0,-0.11,0.12,3.45
234.0,-0.35,0.66,2.66
246.0,-0.34,0.94,2.59
259.0,-0.13,0.73,3.86
272.0,0.19,0.21,5.51
285.0,0.37,-0.23,6.57
298.0,0.58,-0.44,7.07
311.0,0.87,-0.41,7.48
324.0,1.24,-0.21,7.57
336.0,1.19,-0.13,7.48
349.0,1.03,-0.33,7.38
362.0,1.03,-0.62,7.42
375.0,1.4,-0.74,7.88
388.0,1.99,-0.65,8.87
401.0,2.59,-0.65,9.9
414.0,2.3,-0.72,10.09
426.0,1.0,-1.04,9.2
439.0,0.34,-1.23,9.38
452.0,1.23,-1.27,10.79
465.0,2.61,-1.36,12.73
478.0,3.18,-1.51,13.78
491.0,2.6,-1.99,14.24
504.0,0.96,-2.97,14.49
516.0,-0.77,-3.82,14.58
529.0,-1.52,-3.94,14.36
542.0,-1.28,-3.4,14.2
555.0,-0.28,-2.61,14.13
568.0,0.76,-1.96,14.22
581.0,1.19,-1.58,14.0
594.0,1.03,-1.55,13.75
606.0,0.65,-1.75,13.57
619.0,0.36,-1.82,13.47
632.0,0.32,-1.79,13.42
645.0,0.62,-1.93,13.89
658.0,1.0,-2.31,14.62
671.0,1.28,-2.74,15.3
684.0,1.26,-3.15,15.89
696.0,0.98,-3.43,15.98
709.0,0.6,-3.49,15.83
722.0,0.45,-3.32,15.94
735.0,0.75,-3.27,16.51
748.0,1.13,-3.59,17.33
761.0,1.23,-3.88,18.12
774.0,1.13,-4.07,18.41
786.0,0.81,-4.07,18.06
799.0,0.66,-4.05,17.7
812.0,0.87,-4.16,17.83
825.0,1.21,-4.22,17.59
838.0,1.5,-3.92,16.51
851.0,1.64,-3.23,14.84
864.0,1.74,-2.26,12.76
876.0,1.72,-1.54,11.03
889.0,1.92,-1.03,9.75
902.0,2.21,-0.63,8.69
915.0,2.23,-0.44,7.81
928.0,1.97,-0.45,7.36
941.0,1.52,-0.6,7.04
954.0,0.86,-0.81,6.72
966.0,0.43,-0.79,6.25
979.0,0.16,-0.71,5.69
992.0,-0.15,-0.55,5.11
1005.0,-0.37,-0.09,4.06
1018.0,-0.27,0.45,3.08
1031.0,0.07,0.77,2.77
1044.0,0.31,0.71,2.9
1056.0,0.31,0.39,3.11
1069.0,0.02,0.36,2.89
1082.0,-0.18,0.64,2.02
1095.0,-0.27,0.82,1.79
1108.0,0.09,0.8,2.27
1121.0,0.41,0.6,2.95
1134.0,0.64,0.33,3.37
1146.0,0.47,0.18,3.29
1159.0,0.18,0.31,2.91
1172.0,0.17,0.59,2.67
1185.0,0.25,0.89,2.74
1198.0,0.13,1.02,2.91
1211.0,0.04,0.93,3.42
1223.0,0.05,0.72,4.3
1236.0,0.2,0.52,4.94
1249.0,0.41,0.27,5.53
1262.0,0.64,-0.12,6.56
1275.0,0.79,-0.45,7.13
1288.0,0.91,-0.63,7.15
1301.0,0.28,-0.29,6.1
1313.0,-0.05,0.16,4.86
1326.0,0.42,0.33,5.31
1339.0,1.8,-0.1,7.57
1352.0,2.97,-0.87,10.12
1365.0,3.22,-1.34,11.72
1378.0,2.69,-1.51,12.27
1391.0,1.42,-1.51,11.43
1403.0,0.01,-1.43,9.94
1416.0,-0.48,-1.43,9.71
1429.0,0.15,-1.66,11.26
1442.0,1.21,-2.33,13.99
1455.0,1.56,-2.78,15.8
1468.0,0.75,-2.82,15.43
1481.0,-0.64,-2.67,14.29
1493.0,-1.42,-2.4,13.48
1506.0,-1.02,-1.81,13.21
1519.0,0.11,-1.31,13.92
1532.0,1.13,-1.49,15.4
1545.0,1.31,-2.0,16.4
1558.0,0.59,-2.46,16.32
1571.0,-0.4,-2.65,15.78
1583.0,-0.59,-2.42,15.19
1596.0,-0.27,-1.89,14.62
1609.0,0.19,-1.47,14.48
1622.0,0.35,-1.35,14.71
1635.0,0.14,-1.65,15.14
1648.0,-0.12,-2.24,15.83
1661.0,-0.28,-3.08,16.77
