timestamp,accX,accY,accZ
2.0,1.77,-0.09,4.72
15.0,1.21,-0.09,3.53
28.0,1.0,-0.01,3.31
41.0,0.8,0.21,2.46
54.0,0.6,0.15,2.57
66.0,0.6,-0.08,3.28
79.0,0.55,-0.44,4.02
92.0,0.67,-0.54,4.13
105.0,1.03,-0.23,3.54
118.0,1.27,0.06,3.31
131.0,0.99,0.18,3.17
144.0,0.56,0.11,2.72
156.0,-0.14,-0.07,2.26
169.0,-0.72,-0.32,2.02
182.0,-1.07,-0.55,2.17
195.0,-1.04,-0.71,2.82
208.0,-0.79,-0.67,3.62
221.0,-0.47,-0.37,3.86
234.0,-0.26,0.09,3.76
247.0,0.04,0.62,3.35
259.0,0.62,0.83,3.46
272.0,1.52,0.4,4.59
285.0,2.08,-0.37,6.24
298.0,1.98,-1.13,8.03
311.0,1.37,-1.37,8.89
324.0,0.37,-1.39,8.74
336.0,-0.15,-1.2,8.11
349.0,0.4,-1.04,7.76
362.0,1.77,-1.21,8.4
375.0,2.72,-1.66,10.37
388.0,2.61,-1.94,12.02
401.0,1.72,-1.93,11.89
414.0,0.74,-1.69,11.12
427.0,0.89,-1.81,11.75
439.0,1.33,-2.5,13.74
452.0,1.35,-3.42,15.58
465.0,0.61,-3.54,15.5
478.0,-0.17,-3.0,14.32
491.0,-0.28,-2.68,14.3
504.0,-0.11,-2.89,15.22
517.0,-0.14,-3.47,16.45
529.0,-0.55,-3.85,17.26
542.0,-0.99,-3.84,17.67
555.0,-1.31,-3.85,17.99
568.0,-1.5,-3.97,18.65
581.0,-1.43,-4.0,19.02
594.0,-1.04,-3.92,19.17
607.0,-0.54,-3.83,18.84
620.0,-0.11,-3.97,19.07
632.0,0.35,-4.24,19.55
645.0,0.49,-4.34,19.51
658.0,0.88,-4.27,19.04
671.0,1.4,-3.9,17.72
684.0,1.6,-3.33,15.54
697.0,1.55,-2.67,13.74
710.0,1.44,-2.05,11.85
722.0,1.18,-1.52,10.17
735.0,1.17,-1.33,9.26
748.0,1.45,-1.52,8.68
761.0,1.84,-1.67,8.44
774.0,2.0,-1.52,7.81
787.0,1.78,-1.34,6.94
800.0,1.34,-1.23,6.15
812.0,1.05,-1.13,5.27
825.0,0.97,-0.86,4.62
838.0,1.18,-0.56,4.15
851.0,1.26,-0.3,3.99
864.0,0.9,-0.1,3.63
877.0,0.42,0.02,2.92
890.0,-0.1,0.1,2.27
902.0,-0.28,0.18,2.09
915.0,-0.14,0.27,2.24
928.0,0.2,0.44,2.31
941.0,0.52,0.55,2.14
954.0,0.54,0.62,2.11
967.0,0.4,0.74,2.05
980.0,0.14,0.84,1.87
992.0,-0.13,0.79,2.16
1005.0,-0.45,0.58,2.75
1018.0,-0.39,0.43,3.5
1031.0,-0.12,0.43,4.28
1044.0,0.22,0.5,4.71
1057.0,0.62,0.6,4.63
1069.0,1.03,0.53,4.58
1082.0,1.52,0.21,5.12
1095.0,1.75,-0.55,6.37
1108.0,1.03,-1.15,7.7
1121.0,0.04,-1.2,7.84
1134.0,-0.02,-0.81,7.4
1147.0,0.85,-0.31,7.61
1159.0,2.12,-0.25,8.97
1172.0,2.87,-0.83,10.58
1185.0,2.58,-1.58,12.31
1198.0,2.12,-1.88,13.12
1211.0,1.82,-1.97,13.61
1224.0,1.81,-2.13,13.94
1237.0,1.86,-2.33,13.86
