timestamp,accX,accY,accZ
2.0,1.04,-2.56,13.21
15.0,0.76,-1.77,10.27
28.0,0.4,-1.79,11.32
41.0,0.02,-1.8,11.37
54.0,-0.15,-2.19,11.68
67.0,0.77,-2.6,12.13
79.0,1.48,-3.15,12.61
92.0,2.03,-3.39,12.33
105.0,1.94,-3.19,11.87
118.0,0.87,-2.42,10.73
131.0,-0.02,-1.54,9.2
144.0,-0.59,-1.11,8.56
157.0,-0.63,-1.16,8.63
169.0,-0.14,-1.48,8.85
182.0,0.52,-1.79,9.07
195.0,0.95,-1.93,9.19
208.0,0.85,-1.77,8.89
221.0,0.4,-1.24,8.01
234.0,-0.18,-0.82,7.09
247.0,-0.6,-0.83,6.85
259.0,-0.22,-1.27,7.5
272.0,0.38,-1.64,7.8
285.0,1.03,-1.56,7.47
298.0,1.33,-1.29,6.88
311.0,1.23,-0.97,6.3
324.0,0.92,-0.67,5.97
337.0,0.65,-0.5,5.68
349.0,0.44,-0.35,5.71
362.0,0.53,-0.33,5.69
375.0,0.7,-0.19,5.53
388.0,0.94,0.04,5.13
401.0,1.09,0.32,4.76
414.0,1.16,0.45,4.65
427.0,1.16,0.53,4.78
439.0,1.14,0.63,4.81
452.0,1.23,0.61,4.77
465.0,1.2,0.58,4.71
478.0,0.92,0.6,4.32
491.0,0.51,0.38,4.45
504.0,0.45,-0.44,5.84
516.0,0.58,-1.52,7.68
529.0,0.8,-2.45,9.71
542.0,1.14,-2.93,10.95
555.0,1.45,-2.87,11.04
568.0,1.29,-2.15,9.63
581.0,0.63,-0.65,6.81
594.0,-0.1,-0.03,5.17
607.0,0.13,-0.33,6.05
619.0,0.98,-1.48,8.43
632.0,1.71,-2.52,10.6
645.0,2.03,-3.12,12.03
658.0,2.29,-3.11,12.31
671.0,1.82,-2.25,11.05
684.0,0.78,-0.41,8.44
697.0,-0.32,0.91,6.75
709.0,-0.69,0.57,7.9
722.0,-0.44,-0.91,10.79
735.0,0.36,-2.49,13.52
748.0,1.4,-3.53,15.45
761.0,2.26,-3.77,15.68
774.0,2.16,-2.91,14.53
787.0,0.9,-0.98,11.73
799.0,-0.41,0.4,10.09
812.0,-0.86,0.08,11.38
825.0,-0.47,-1.14,13.66
838.0,0.11,-2.06,15.05
851.0,0.83,-2.48,15.38
864.0,1.3,-2.47,15.14
877.0,0.95,-2.15,14.74
889.0,0.21,-1.96,14.77
902.0,-0.36,-1.87,14.88
915.0,-0.57,-1.88,14.93
928.0,-0.66,-1.82,14.62
