timestamp,accX,accY,accZ
2.0,0.79,-1.33,11.87
15.0,0.81,-1.25,9.73
28.0,1.23,-1.67,11.45
41.0,1.45,-1.72,11.53
54.0,1.51,-1.7,11.4
66.0,1.61,-1.7,11.17
79.0,1.42,-1.58,10.63
92.0,0.86,-1.54,10.32
105.0,0.44,-1.42,10.05
118.0,0.16,-1.3,9.53
131.0,0.27,-1.17,9.21
144.0,0.62,-1.02,8.8
157.0,0.94,-0.71,8.06
169.0,1.16,-0.32,7.37
182.0,1.08,-0.08,6.98
195.0,0.83,0.21,6.66
208.0,0.46,0.31,6.42
221.0,0.27,0.08,6.87
234.0,0.36,-0.37,7.6
246.0,0.82,-0.5,7.83
259.0,1.3,-0.33,7.36
272.0,1.55,0.12,6.4
285.0,1.68,0.45,5.51
298.0,1.48,0.65,5.23
311.0,1.27,0.67,5.46
324.0,1.1,0.6,5.69
336.0,0.99,0.69,5.7
349.0,0.91,0.93,5.29
362.0,0.97,1.18,4.93
375.0,1.09,1.31,4.63
388.0,1.24,1.25,4.67
401.0,1.39,0.78,5.38
413.0,1.58,0.18,6.37
426.0,1.82,-0.23,7.07
439.0,1.83,-0.37,7.34
452.0,1.68,-0.28,7.38
465.0,1.39,-0.27,7.36
478.0,1.22,-0.53,7.71
491.0,1.19,-0.81,8.31
503.0,1.2,-0.95,8.75
516.0,1.18,-0.89,8.85
529.0,1.3,-0.65,8.61
542.0,1.28,-0.42,8.3
555.0,0.72,-0.32,8.23
568.0,-0.21,-0.4,8.71
581.0,-0.9,-0.62,9.49
593.0,-0.99,-1.12,10.71
606.0,-0.34,-1.95,12.15
619.0,1.01,-2.45,13.77
632.0,1.86,-2.23,13.84
645.0,1.77,-1.35,12.15
658.0,1.17,-0.04,10.35
671.0,-0.17,1.08,9.03
684.0,-1.37,1.31,9.08
696.0,-0.92,0.53,10.65
709.0,0.58,-0.85,12.7
722.0,2.0,-1.92,13.96
735.0,2.79,-2.37,14.43
748.0,2.88,-2.27,14.25
761.0,2.07,-1.74,13.72
774.0,1.23,-1.22,13.51
786.0,1.11,-1.15,13.75
799.0,1.52,-1.27,14.15
812.0,1.81,-1.43,14.5
825.0,2.04,-1.6,14.85
838.0,2.18,-1.68,15.07
851.0,2.09,-1.68,15.06
864.0,1.69,-1.48,14.9
876.0,1.19,-1.32,14.82
889.0,0.94,-1.21,14.88
902.0,1.05,-1.31,15.04
915.0,1.13,-1.51,15.22
928.0,0.87,-1.84,15.67
941.0,0.53,-2.1,15.83
954.0,0.88,-2.21,15.61
966.0,1.23,-2.07,14.93
979.0,1.4,-1.58,14.0
992.0,1.31,-1.0,12.85
1005.0,1.17,-0.52,11.86
1018.0,1.17,-0.23,11.18
1031.0,1.09,-0.08,10.72
1044.0,0.91,0.03,10.2
1056.0,0.85,0.13,9.59
1069.0,0.92,0.06,9.21
1082.0,1.32,-0.25,9.15
1095.0,1.98,-0.59,9.34
1108.0,2.32,-0.76,9.38
1121.0,2.28,-0.73,9.23
1133.0,1.84,-0.6,8.99
1146.0,1.49,-0.24,8.71
1159.0,1.14,0.2,7.34
1172.0,1.04,0.77,6.31
1185.0,0.89,1.16,5.6
1198.0,0.97,1.27,5.12
1211.0,1.34,1.2,4.99
1223.0,1.56,0.96,5.29
1236.0,1.65,0.69,5.69
1249.0,1.73,0.45,5.84
1262.0,1.65,0.3,5.71
1275.0,1.58,0.15,5.67
1288.0,1.61,-0.13,5.92
1300.0,1.63,-0.27,6.19
1313.0,1.53,-0.09,5.78
1326.0,1.32,0.34,4.99
1339.0,1.08,0.89,4.3
1352.0,0.92,1.3,3.8
1365.0,0.68,1.62,3.24
1378.0,0.37,1.47,3.26
1390.0,0.38,1.09,4.17
1403.0,0.57,0.76,4.98
