timestamp,accX,accY,accZ
2.0,0.27,-1.1,13.35
15.0,0.25,-1.31,11.62
28.0,0.4,-2.21,15.0
41.0,0.35,-2.93,16.29
54.0,0.42,-3.46,16.88
66.0,0.65,-3.67,16.92
79.0,0.79,-3.39,16.19
92.0,0.8,-2.81,15.09
105.0,0.66,-2.36,14.11
118.0,0.66,-2.3,13.98
131.0,0.72,-2.43,14.09
144.0,0.6,-2.43,13.75
156.0,0.47,-2.41,13.55
169.0,0.22,-2.41,13.33
182.0,-0.12,-2.21,12.84
195.0,-0.5,-1.86,12.0
208.0,-0.68,-1.55,11.19
221.0,-0.45,-1.4,10.79
234.0,-0.3,-1.34,10.45
247.0,-0.19,-1.32,10.0
259.0,-0.49,-1.51,9.62
272.0,-0.73,-1.86,9.9
285.0,-0.39,-2.06,9.78
298.0,-0.27,-2.12,9.53
311.0,0.03,-1.87,8.84
324.0,0.33,-1.45,7.58
337.0,0.27,-1.25,6.84
350.0,0.34,-1.24,7.02
362.0,0.66,-1.36,7.14
375.0,0.98,-1.3,6.83
388.0,1.17,-0.94,6.38
401.0,1.17,-0.23,5.45
414.0,1.15,0.31,4.41
427.0,0.96,0.48,4.1
439.0,0.96,0.3,4.46
452.0,1.13,-0.01,5.11
465.0,1.25,-0.16,5.46
478.0,1.32,-0.02,5.37
491.0,1.34,0.22,4.97
504.0,1.42,0.5,4.71
517.0,1.5,0.8,4.44
529.0,1.57,0.97,4.52
542.0,1.54,0.88,4.89
555.0,1.42,0.66,5.43
568.0,1.1,0.48,5.65
581.0,0.64,0.14,5.88
594.0,0.3,-0.16,6.37
606.0,0.3,-0.47,6.8
619.0,0.64,-0.59,6.88
632.0,0.86,-0.58,6.92
645.0,0.65,-0.73,7.26
658.0,0.33,-1.09,8.32
671.0,-0.06,-1.38,9.17
684.0,-0.21,-1.22,9.63
697.0,0.13,-0.7,9.18
709.0,0.77,-0.09,8.45
722.0,1.1,0.29,7.82
735.0,0.76,0.53,7.44
748.0,0.19,0.7,7.56
761.0,-0.15,0.26,8.23
774.0,0.25,-0.6,9.59
786.0,0.91,-1.38,11.25
799.0,1.2,-1.66,12.12
812.0,1.07,-1.75,12.36
825.0,0.9,-1.71,12.62
838.0,0.71,-1.63,12.8
851.0,0.66,-1.75,13.02
864.0,0.86,-2.06,13.72
876.0,1.1,-2.31,14.33
889.0,1.32,-2.33,14.62
902.0,1.41,-2.19,14.62
915.0,1.36,-2.04,14.68
928.0,1.06,-2.11,14.98
941.0,0.76,-2.24,15.5
954.0,0.53,-2.37,15.82
966.0,0.44,-2.29,15.77
979.0,0.56,-2.08,15.31
992.0,0.72,-1.84,14.74
1005.0,0.64,-1.75,14.42
1018.0,0.29,-1.93,14.55
1031.0,-0.17,-2.26,14.96
1044.0,-0.42,-2.51,15.28
1057.0,-0.41,-2.76,15.39
1069.0,0.11,-3.03,15.58
1082.0,0.71,-3.11,15.4
1095.0,0.97,-2.96,14.79
1108.0,0.73,-2.77,14.1
1121.0,0.26,-2.61,13.55
1134.0,-0.1,-2.42,12.92
1147.0,-0.23,-2.27,12.38
1159.0,0.12,-2.22,11.89
1172.0,0.6,-2.25,11.51
1185.0,1.0,-2.28,11.14
1198.0,1.14,-2.19,10.65
1211.0,1.13,-1.86,9.7
1224.0,0.88,-1.38,8.68
1237.0,0.68,-1.04,8.18
1249.0,0.32,-0.99,8.13
1262.0,0.08,-0.95,7.91
1275.0,-0.01,-0.68,7.24
1288.0,0.11,-0.32,6.58
1301.0,0.51,0.0,6.15
1314.0,0.88,0.31,5.62
1327.0,1.18,0.78,4.86
1339.0,1.32,1.03,4.71
1352.0,1.04,0.78,4.64
1365.0,0.59,0.38,4.94
1378.0,0.52,-0.33,6.02
1391.0,0.83,-1.05,7.1
1404.0,1.25,-1.16,7.36
1417.0,1.63,-0.63,6.68
1429.0,1.73,0.26,5.09
1442.0,1.61,1.03,3.71
1455.0,1.14,1.27,2.99
1468.0,0.51,0.86,3.68
1481.0,0.41,0.19,5.08
1494.0,0.77,-0.42,6.43
1506.0,1.25,-0.7,7.1
1519.0,1.49,-0.42,6.79
1532.0,1.31,0.04,6.02
1545.0,1.01,0.45,5.04
1558.0,0.54,0.52,4.48
1571.0,0.16,0.05,5.23
1584.0,0.01,-0.7,6.39
1596.0,0.47,-1.59,8.01
1609.0,1.32,-2.15,9.41
1622.0,2.03,-2.31,9.89
1635.0,1.94,-2.15,9.76
1648.0,0.95,-1.38,8.22
1661.0,0.11,-0.69,7.17
1674.0,-0.09,-0.27,7.55
1686.0,0.46,-0.22,8.23
1699.0,1.56,-0.73,9.44
1712.0,2.27,-1.35,10.95
1725.0,2.21,-1.69,11.95
1738.0,1.56,-1.37,11.79
1751.0,0.25,-0.51,10.74
1764.0,-0.33,-0.13,10.63
1776.0,-0.4,-0.48,11.46
1789.0,-0.03,-1.31,13.02
1802.0,0.44,-2.0,14.26
1815.0,0.89,-2.3,14.83
1828.0,1.1,-2.38,15.05
1841.0,0.97,-2.22,14.94
1854.0,0.62,-1.96,14.75
1866.0,0.14,-1.56,14.31
1879.0,-0.11,-1.05,13.49
1892.0,-0.06,-0.79,13.0
1905.0,0.4,-1.03,13.31
1918.0,0.71,-1.41,13.83
1931.0,0.68,-1.74,14.28
1944.0,0.29,-2.01,14.74
1957.0,-0.16,-2.16,15.02
1969.0,-0.34,-2.14,15.16
1982.0,-0.23,-1.89,14.96
1995.0,-0.2,-1.61,14.64
2008.0,-0.0,-1.44,14.5
2021.0,0.13,-1.56,14.53
2034.0,0.28,-1.93,14.94
2047.0,0.45,-2.36,15.41
2059.0,0.23,-2.76,15.47
2072.0,0.0,-2.95,15.44
2085.0,-0.2,-3.04,15.02
2098.0,-0.43,-2.93,14.5
2111.0,-0.49,-2.44,13.32
2124.0,-0.23,-1.81,11.87
2137.0,-0.19,-1.08,10.15
2150.0,-0.06,-0.21,8.58
2162.0,0.19,0.22,7.27
2175.0,0.11,-0.42,7.8
2188.0,-0.14,-1.76,9.47
2201.0,-0.27,-2.67,10.66
2214.0,-0.09,-2.81,10.5
2227.0,0.08,-2.27,9.32
2240.0,0.2,-1.27,7.59
2252.0,0.32,-0.36,5.62
2265.0,0.27,-0.33,5.29
2278.0,0.37,-0.83,6.42
2291.0,0.75,-1.18,6.74
2304.0,1.05,-1.16,6.43
2317.0,1.11,-0.79,5.79
2330.0,1.11,-0.4,5.07
2342.0,0.94,-0.34,4.86
2355.0,0.81,-0.41,5.01
2368.0,0.78,-0.45,5.2
2381.0,0.77,-0.42,5.19
2394.0,0.82,-0.32,5.06
2407.0,0.84,-0.25,4.93
2420.0,0.89,-0.15,4.89
2432.0,0.91,-0.16,5.12
2445.0,0.74,-0.25,5.6
2458.0,0.52,-0.47,6.22
2471.0,0.27,-0.61,6.71
2484.0,0.05,-0.4,6.66
2497.0,-0.09,0.0,6.02
2510.0,-0.19,0.25,5.35
2522.0,0.13,-0.02,5.78
2535.0,0.7,-0.54,6.5
2548.0,0.92,-1.07,7.22
2561.0,0.84,-1.35,7.82
2574.0,0.5,-1.34,7.93
2587.0,0.44,-1.08,7.91
2600.0,0.41,-0.71,7.68
2612.0,0.52,-0.62,7.73
2625.0,0.79,-0.95,8.55
2638.0,1.14,-1.42,9.39
2651.0,1.68,-1.67,9.98
2664.0,1.78,-1.66,10.17
2677.0,1.14,-1.64,10.33
2690.0,0.18,-1.62,10.97
2703.0,-0.37,-1.66,11.88
2715.0,-0.25,-1.73,12.39
2728.0,0.26,-1.62,12.44
2741.0,0.66,-1.46,12.21
2754.0,0.67,-1.29,12.04
2767.0,0.43,-1.08,12.18
2780.0,-0.17,-0.98,12.51
2793.0,-0.78,-0.89,13.0
2805.0,-1.17,-0.94,13.21
2818.0,-1.16,-1.09,13.64
2831.0,-0.57,-1.6,14.42
2844.0,0.07,-2.1,15.13
2857.0,0.54,-2.4,15.41
2870.0,0.8,-2.69,15.76
2883.0,1.07,-2.89,16.1
2895.0,1.05,-2.8,15.84
2908.0,0.67,-2.61,15.35
2921.0,0.35,-2.52,14.88
2934.0,0.17,-2.38,14.39
2947.0,0.16,-2.22,13.89
2960.0,0.32,-2.1,13.55
2973.0,0.58,-1.91,13.15
2985.0,0.68,-1.53,12.5
2998.0,0.73,-1.19,12.03
3011.0,0.62,-1.31,12.37
3024.0,0.59,-1.8,12.97
3037.0,0.46,-2.39,13.5
3050.0,0.44,-2.93,14.21
3063.0,0.74,-3.23,14.35
3076.0,0.93,-3.11,13.81
3088.0,0.98,-2.87,13.16
3101.0,0.77,-2.54,12.2
3114.0,0.5,-2.3,11.35
3127.0,0.43,-2.28,10.76
3140.0,0.47,-2.59,11.12
3153.0,0.06,-3.08,11.5
3166.0,-0.34,-3.17,11.25
3178.0,-0.34,-2.67,10.24
3191.0,-0.09,-1.59,8.28
3204.0,-0.07,-0.25,5.78
3217.0,-0.37,0.54,3.87
3230.0,-0.74,-0.06,4.65
3243.0,-0.48,-1.79,7.59
3256.0,-0.24,-3.22,9.87
3268.0,-0.29,-3.78,10.22
3281.0,0.01,-3.38,8.98
3294.0,0.36,-2.2,7.12
3307.0,0.29,-1.15,5.19
3320.0,0.27,-1.19,4.81
3333.0,0.28,-1.84,6.33
3346.0,0.45,-2.21,7.31
3359.0,0.7,-2.05,7.09
3371.0,1.06,-1.37,5.98
3384.0,1.29,-0.64,4.77
3397.0,1.1,-0.22,4.07
3410.0,0.78,-0.04,4.1
3423.0,0.28,-0.02,4.17
3436.0,-0.06,-0.03,4.64
3449.0,-0.1,-0.25,5.39
3461.0,0.25,-0.39,6.15
3474.0,0.64,-0.23,6.09
3487.0,0.97,0.07,5.52
3500.0,1.03,0.21,5.0
3513.0,0.92,0.12,5.15
3526.0,0.81,-0.27,5.88
3538.0,0.82,-0.82,6.79
3551.0,0.88,-1.33,8.04
3564.0,1.22,-1.58,8.86
3577.0,1.64,-1.39,8.71
3590.0,1.78,-0.88,7.56
3603.0,1.37,-0.46,6.92
3616.0,0.58,-0.7,6.98
3628.0,-0.24,-1.43,8.31
3641.0,-0.38,-2.22,10.54
3654.0,0.2,-2.66,12.4
3667.0,1.32,-2.61,12.47
3680.0,2.3,-2.14,10.6
3693.0,1.88,-1.13,8.3
3706.0,0.27,0.17,6.68
3719.0,-1.63,0.37,6.7
3731.0,-1.68,-0.62,8.69
3744.0,-0.2,-2.08,12.14
3757.0,0.96,-3.1,14.45
3770.0,1.71,-3.45,15.05
3783.0,1.85,-2.89,14.48
3796.0,0.98,-1.67,12.69
3809.0,-0.15,-0.9,11.43
3821.0,-0.5,-0.81,11.9
3834.0,0.26,-1.37,13.03
3847.0,1.17,-1.98,14.06
3860.0,1.59,-2.23,14.45
3873.0,1.35,-2.17,14.29
3886.0,0.83,-2.01,13.86
3899.0,0.46,-1.92,13.81
3911.0,0.22,-1.88,13.77
3924.0,0.07,-1.78,13.65
3937.0,0.09,-1.68,13.51
3950.0,0.16,-1.66,13.53
3963.0,0.33,-1.71,13.7
3976.0,0.52,-1.9,13.85
3989.0,0.64,-2.1,14.06
4001.0,0.72,-2.25,14.25
4014.0,0.69,-2.22,14.18
4027.0,0.62,-2.13,13.99
4040.0,0.67,-2.16,13.86
4053.0,0.58,-2.36,14.0
4066.0,0.57,-2.56,13.99
4079.0,0.53,-2.48,13.49
4091.0,0.52,-2.21,12.63
4104.0,0.7,-1.87,11.58
4117.0,0.77,-1.67,10.82
4130.0,0.56,-1.89,10.91
4143.0,0.13,-2.33,11.41
4156.0,-0.62,-2.61,11.7
4169.0,-0.63,-2.86,11.18
4182.0,-0.56,-3.03,10.71
4194.0,-0.63,-3.28,10.57
4207.0,-0.49,-3.46,10.65
4220.0,-0.04,-3.42,10.16
4233.0,0.25,-3.13,9.4
4246.0,0.39,-2.65,8.45
4259.0,0.51,-1.95,7.46
4272.0,0.62,-1.4,6.66
4284.0,0.77,-1.06,6.14
4297.0,0.98,-0.84,5.79
4310.0,1.13,-0.65,5.44
4323.0,1.12,-0.71,5.33
4336.0,0.9,-1.01,5.86
4349.0,0.72,-1.38,6.39
4362.0,0.73,-1.69,6.85
4374.0,0.61,-1.88,7.23
4387.0,0.57,-1.75,7.26
4400.0,0.66,-1.3,6.55
4413.0,0.74,-0.71,5.61
4426.0,0.77,-0.26,4.86
4439.0,0.7,-0.02,4.29
4452.0,0.84,0.04,4.2
4464.0,0.86,-0.13,4.46
4477.0,0.97,-0.39,5.32
4490.0,1.06,-0.77,6.29
4503.0,1.19,-0.95,6.93
4516.0,1.28,-0.85,6.96
4529.0,1.18,-0.31,6.27
4542.0,1.15,0.24,5.03
4554.0,1.12,0.33,4.41
4567.0,1.18,-0.05,5.03
4580.0,1.55,-0.74,6.4
4593.0,2.11,-1.43,7.73
4606.0,2.55,-1.86,8.56
4619.0,2.84,-2.12,9.12
4632.0,2.63,-1.97,9.22
4644.0,1.03,-1.51,7.79
4657.0,0.03,-0.59,6.99
4670.0,-1.06,-0.13,7.15
4683.0,-1.76,-0.43,8.09
4696.0,-1.58,-1.29,9.82
4709.0,-0.66,-2.39,12.07
4722.0,0.49,-2.83,13.18
4735.0,0.85,-2.44,12.69
4747.0,0.24,-1.65,11.55
4760.0,-0.84,-1.23,11.25
4773.0,-1.42,-1.25,11.8
4786.0,-1.14,-1.6,12.47
4799.0,-0.22,-2.09,13.22
4812.0,0.71,-2.65,13.8
4825.0,1.41,-3.14,14.48
4837.0,1.49,-3.12,14.46
4850.0,0.64,-2.61,14.03
4863.0,0.03,-2.26,13.65
4876.0,-0.23,-2.32,14.02
4889.0,-0.07,-2.43,14.44
4902.0,0.14,-2.32,14.43
4915.0,0.3,-1.97,13.9
4927.0,0.32,-1.62,13.44
4940.0,0.24,-1.56,13.53
4953.0,0.13,-1.64,13.9
4966.0,0.14,-1.77,14.16
4979.0,0.3,-1.81,14.28
4992.0,0.33,-1.87,14.29
5005.0,0.42,-1.97,14.33
5017.0,0.49,-2.17,14.49
5030.0,0.6,-2.35,14.63
5043.0,0.64,-2.44,14.51
5056.0,0.51,-2.52,14.28
5069.0,0.5,-2.57,14.1
5082.0,0.62,-2.46,13.66
5095.0,0.76,-2.25,12.96
5108.0,0.69,-2.04,12.21
5120.0,0.51,-2.1,11.99
5133.0,0.33,-2.3,12.08
5146.0,0.27,-2.54,12.27
5159.0,0.35,-2.61,12.11
5172.0,0.33,-2.31,11.21
5185.0,0.28,-1.8,10.14
5198.0,0.33,-1.22,9.1
5210.0,0.32,-0.72,7.92
5223.0,0.34,-0.3,7.04
5236.0,0.13,-0.41,7.02
5249.0,-0.03,-0.98,7.7
5262.0,0.25,-1.61,8.49
5275.0,0.5,-2.05,8.52
5288.0,0.82,-2.06,8.17
5300.0,1.04,-1.75,7.45
5313.0,1.04,-1.48,6.75
5326.0,1.19,-1.33,6.56
5339.0,1.49,-1.16,6.07
5352.0,1.71,-0.88,5.58
5365.0,1.51,-0.56,5.03
5378.0,1.05,-0.42,4.79
5390.0,0.77,-0.56,5.11
5403.0,0.82,-0.78,5.45
5416.0,1.0,-0.75,5.5
5429.0,1.22,-0.44,5.21
5442.0,1.5,0.02,4.65
5455.0,1.7,0.42,4.13
5467.0,1.63,0.65,3.9
5480.0,1.39,0.64,4.2
5493.0,1.28,0.46,4.76
5506.0,1.15,0.41,4.97
5519.0,0.65,0.36,5.05
5532.0,0.27,0.1,5.66
5545.0,0.39,-0.35,6.57
5557.0,0.46,-1.04,7.36
5570.0,0.39,-1.28,7.76
5583.0,0.49,-1.28,7.72
5596.0,0.86,-1.03,7.43
5609.0,1.09,-0.63,7.28
5622.0,0.69,-0.47,7.15
5635.0,0.18,-0.59,7.63
5647.0,-0.51,-0.74,8.45
5660.0,-0.67,-1.26,10.06
5673.0,0.35,-1.76,11.75
5686.0,1.52,-1.86,12.84
