timestamp,accX,accY,accZ
2.0,0.74,-1.53,9.92
15.0,0.35,-1.28,8.05
28.0,-0.33,-1.71,9.52
41.0,-1.21,-1.78,9.59
54.0,-1.71,-1.83,10.35
67.0,-1.61,-1.56,11.18
79.0,-1.01,-0.76,11.36
92.0,-0.18,0.38,11.12
105.0,0.35,1.38,10.81
118.0,0.67,2.09,10.47
131.0,0.51,2.32,10.52
144.0,-0.14,1.95,10.8
157.0,-0.7,1.27,11.76
169.0,-0.92,0.94,12.24
182.0,-0.94,0.91,12.32
195.0,-0.77,1.02,12.17
208.0,-0.32,1.27,11.95
221.0,0.13,1.5,11.68
234.0,0.48,1.71,11.37
247.0,0.55,1.73,11.35
259.0,0.37,1.5,11.69
272.0,-0.25,1.13,11.7
285.0,-0.9,0.85,11.26
298.0,-1.43,0.59,10.91
311.0,-1.67,0.52,10.77
324.0,-1.75,0.5,10.74
336.0,-1.56,0.56,10.75
349.0,-1.02,0.79,10.63
362.0,-0.21,1.18,10.2
375.0,0.56,1.57,9.47
388.0,1.22,1.98,8.94
401.0,1.56,1.78,9.32
414.0,1.41,1.01,10.04
426.0,1.2,0.38,10.22
439.0,1.16,-0.06,10.37
452.0,1.2,-0.15,10.05
465.0,1.35,-0.49,10.27
478.0,1.41,-1.0,10.86
491.0,1.19,-1.76,11.36
504.0,0.59,-2.28,10.96
516.0,-0.0,-2.53,10.06
529.0,-0.21,-2.35,8.76
542.0,0.07,-1.88,7.38
555.0,-0.03,-2.12,7.1
568.0,0.13,-2.51,8.22
581.0,-0.02,-3.24,9.46
594.0,-0.44,-4.12,10.35
607.0,-0.79,-4.71,10.67
619.0,-0.96,-4.94,10.37
632.0,-0.7,-4.84,9.78
645.0,0.06,-4.55,9.67
658.0,0.85,-4.31,10.04
671.0,1.26,-4.38,10.47
684.0,1.15,-4.28,10.29
697.0,0.64,-4.11,9.47
709.0,0.27,-3.81,8.6
722.0,0.11,-3.43,7.9
735.0,0.16,-3.16,7.72
748.0,0.36,-2.94,7.8
761.0,0.53,-2.92,8.06
774.0,0.72,-2.97,8.4
787.0,0.74,-3.23,8.95
799.0,0.56,-3.48,9.12
812.0,0.36,-3.61,9.16
825.0,0.32,-3.65,9.46
838.0,0.48,-3.52,9.55
851.0,0.6,-3.28,9.46
864.0,0.77,-3.03,9.68
877.0,0.78,-2.92,10.0
889.0,0.49,-2.92,10.04
902.0,0.02,-2.98,10.14
915.0,-0.2,-3.04,10.4
928.0,-0.08,-2.85,10.89
941.0,0.24,-2.44,11.07
954.0,0.48,-1.76,10.7
967.0,0.73,-1.12,10.52
979.0,0.64,-0.79,10.84
992.0,0.19,-0.69,10.89
1005.0,-0.54,-0.59,10.63
1018.0,-1.26,-0.3,10.09
1031.0,-1.85,-0.02,9.51
1044.0,-2.06,0.22,9.28
1057.0,-1.92,0.33,9.87
