timestamp,accX,accY,accZ
2.0,-0.79,-3.89,9.32
15.0,-0.92,-3.54,7.59
28.0,-1.42,-4.74,9.14
41.0,-1.16,-4.98,8.93
54.0,-0.71,-5.04,8.64
67.0,-0.36,-5.26,8.64
79.0,-0.0,-5.58,8.78
92.0,0.16,-5.86,8.79
105.0,0.26,-5.89,8.52
118.0,-0.06,-6.37,8.92
131.0,-0.41,-7.33,9.96
144.0,-0.76,-7.91,10.06
157.0,-0.61,-7.96,10.65
170.0,-1.06,-8.44,10.6
182.0,-1.08,-8.6,10.96
195.0,-1.0,-8.61,11.26
208.0,-0.89,-8.37,11.12
221.0,-0.89,-7.8,10.82
234.0,-0.88,-6.91,9.83
247.0,-0.61,-5.99,8.53
260.0,0.1,-5.11,7.93
273.0,0.71,-4.58,8.33
285.0,1.08,-4.3,8.7
298.0,0.89,-4.23,8.77
311.0,0.81,-4.15,8.57
324.0,0.68,-3.88,8.13
337.0,0.39,-3.76,8.17
350.0,-0.09,-3.63,8.0
363.0,-0.61,-3.35,7.9
375.0,-1.04,-2.97,8.07
388.0,-1.36,-2.41,8.03
401.0,-1.37,-1.63,7.92
414.0,-1.02,-0.8,7.69
427.0,-0.77,-0.08,7.57
440.0,-0.51,0.37,7.87
453.0,-0.07,0.81,8.45
466.0,0.28,1.17,9.22
478.0,0.48,1.57,9.56
491.0,0.44,1.83,9.6
504.0,0.42,2.01,9.44
517.0,0.8,2.07,9.86
530.0,1.46,2.39,10.72
543.0,2.02,2.9,11.57
555.0,2.56,3.52,12.0
568.0,2.85,3.78,13.06
581.0,2.66,3.82,13.66
594.0,2.03,3.78,13.23
607.0,1.25,3.79,12.93
620.0,0.52,3.81,13.04
632.0,-0.13,3.81,13.22
645.0,-0.76,3.83,13.46
658.0,-0.83,3.71,13.89
671.0,-0.65,3.52,14.22
684.0,-0.41,3.35,13.9
697.0,-0.23,3.28,13.2
710.0,-0.16,3.32,12.29
722.0,-0.15,3.38,11.31
735.0,-0.13,3.34,10.54
748.0,-0.16,3.0,10.41
761.0,-0.0,2.48,10.54
774.0,0.08,2.16,10.34
787.0,0.32,1.99,9.91
800.0,0.69,1.99,9.48
812.0,0.99,1.95,9.09
825.0,1.26,1.73,9.0
838.0,1.53,1.56,8.87
851.0,1.57,1.43,8.02
864.0,1.7,0.99,7.66
877.0,1.83,0.27,7.98
889.0,1.49,-0.62,8.66
902.0,1.27,-1.43,9.29
915.0,0.52,-2.65,9.78
928.0,-0.71,-4.09,10.24
941.0,-1.64,-5.24,9.94
954.0,-1.6,-5.62,9.38
967.0,-0.33,-5.18,9.37
980.0,0.93,-4.56,9.68
992.0,1.64,-4.41,10.01
1005.0,1.21,-4.75,10.09
1018.0,0.06,-5.87,10.49
1031.0,-0.95,-6.94,10.92
1044.0,-1.46,-7.49,11.32
1057.0,-1.56,-7.65,11.34
1070.0,-1.42,-7.55,11.18
1082.0,-1.11,-7.09,10.66
1095.0,-0.61,-6.26,9.74
1108.0,-0.4,-5.58,9.09
1121.0,-0.66,-5.36,8.84
1134.0,-1.21,-5.32,8.64
1147.0,-1.67,-5.3,8.38
1160.0,-1.73,-5.24,8.02
1173.0,-1.19,-4.92,7.68
1185.0,-0.35,-4.63,7.86
1198.0,0.4,-4.44,8.2
1211.0,0.83,-4.46,8.74
1224.0,1.1,-4.44,9.28
1237.0,1.14,-4.41,9.29
1250.0,1.05,-4.1,8.62
1263.0,0.63,-3.52,7.71
1275.0,0.17,-3.32,7.4
1288.0,0.03,-3.28,8.29
