timestamp,accX,accY,accZ
2.0,0.65,-1.7,8.74
15.0,0.48,-1.27,6.9
28.0,0.75,-1.23,8.21
41.0,1.16,-0.99,8.72
54.0,1.58,-0.9,9.64
67.0,1.47,-0.88,10.24
79.0,0.95,-0.8,10.16
92.0,0.38,-0.59,9.87
105.0,0.13,-0.33,9.65
118.0,0.24,-0.24,10.05
131.0,0.4,-0.05,10.21
144.0,0.45,0.19,10.35
156.0,0.49,0.49,10.48
169.0,0.48,0.81,10.43
182.0,0.48,1.02,10.62
195.0,0.35,1.15,10.87
208.0,0.1,1.25,10.84
221.0,-0.07,1.29,10.81
234.0,-0.05,1.38,11.02
246.0,0.23,1.51,11.38
259.0,0.52,1.6,11.87
272.0,0.68,1.76,12.01
285.0,0.69,1.86,11.99
298.0,0.73,1.92,12.03
311.0,0.79,1.95,12.15
323.0,0.94,2.07,11.89
336.0,1.0,2.29,11.43
349.0,1.13,2.38,11.16
362.0,1.34,2.31,11.05
375.0,1.32,2.16,11.06
388.0,1.16,1.95,11.02
401.0,1.1,1.81,10.94
413.0,1.17,1.73,10.89
426.0,1.2,1.57,10.72
439.0,1.24,1.38,10.54
452.0,1.31,1.27,10.26
465.0,1.32,1.25,9.89
478.0,1.55,1.17,9.69
490.0,1.91,0.95,9.88
503.0,1.96,0.52,10.05
516.0,1.53,-0.12,10.14
529.0,1.07,-0.72,10.14
542.0,0.57,-1.23,9.99
555.0,0.35,-1.64,9.68
568.0,0.4,-2.02,9.64
580.0,0.33,-2.55,9.86
593.0,0.24,-2.85,9.52
606.0,0.03,-2.75,8.68
619.0,0.55,-2.46,7.16
632.0,1.38,-2.11,6.61
645.0,2.21,-2.15,7.46
658.0,2.18,-2.85,8.82
670.0,1.78,-3.69,9.57
683.0,1.27,-4.32,10.02
696.0,0.72,-4.88,10.32
709.0,0.44,-5.27,10.54
722.0,0.52,-5.31,10.69
735.0,0.78,-5.07,10.53
748.0,1.08,-4.8,10.48
760.0,1.17,-4.7,10.62
773.0,1.02,-4.66,10.52
786.0,0.76,-4.53,10.2
799.0,0.78,-4.21,9.76
812.0,1.02,-3.69,9.28
825.0,1.27,-3.22,8.96
838.0,1.54,-2.82,8.69
850.0,1.78,-2.5,8.53
863.0,1.87,-2.44,8.82
876.0,1.81,-2.66,9.53
889.0,1.57,-2.8,9.88
902.0,1.1,-2.7,9.56
915.0,0.56,-2.43,8.9
928.0,0.2,-2.09,8.4
940.0,0.09,-1.65,7.91
953.0,0.16,-1.29,7.72
966.0,0.3,-1.34,8.58
979.0,0.38,-1.63,9.75
992.0,0.35,-1.87,10.44
1005.0,0.1,-1.88,10.45
1018.0,-0.15,-1.78,10.32
1030.0,-0.01,-1.62,10.48
1043.0,0.28,-1.38,11.07
1056.0,1.01,-1.15,11.3
1069.0,1.22,-0.65,10.95
1082.0,1.22,-0.32,10.67
1095.0,0.88,-0.12,10.39
1108.0,0.39,0.04,9.98
1120.0,-0.09,0.19,9.59
1133.0,-0.21,0.59,9.37
1146.0,0.15,1.11,8.98
1159.0,0.28,1.2,9.87
1172.0,0.29,1.05,10.55
1185.0,0.11,0.88,10.77
1197.0,-0.04,0.8,11.12
1210.0,-0.05,0.88,11.36
1223.0,-0.02,0.84,11.97
1236.0,0.05,0.9,12.43
1249.0,0.1,1.25,12.27
1262.0,0.08,1.66,12.05
1275.0,0.08,1.83,12.1
1287.0,0.15,1.85,12.55
1300.0,0.28,1.82,13.02
1313.0,0.35,1.81,13.17
1326.0,0.37,2.05,12.64
1339.0,0.37,2.32,11.89
1352.0,0.51,2.54,11.22
1364.0,0.59,2.75,10.72
1377.0,1.09,2.92,9.96
1390.0,1.35,2.88,9.92
1403.0,1.58,2.59,10.13
1416.0,1.62,2.29,10.12
1429.0,1.58,1.93,9.77
1442.0,1.49,1.77,9.4
1454.0,1.46,1.72,8.94
1467.0,1.54,1.75,8.72
1480.0,1.53,1.78,8.58
1493.0,1.5,1.65,8.64
1506.0,1.32,1.23,8.97
1519.0,0.97,0.52,9.77
1531.0,0.43,-0.39,10.49
1544.0,-0.07,-1.25,10.92
1557.0,-0.2,-1.79,11.03
1570.0,-0.04,-2.2,11.18
1583.0,0.18,-2.49,11.17
1596.0,0.32,-2.55,10.6
1609.0,0.25,-2.72,10.1
1621.0,0.14,-2.92,9.66
1634.0,0.32,-3.22,9.82
1647.0,0.65,-3.39,9.95
1660.0,0.77,-3.52,9.58
1673.0,0.8,-3.72,9.36
1686.0,0.89,-3.76,9.09
1699.0,1.17,-3.51,8.84
1711.0,1.51,-3.25,8.58
1724.0,1.64,-3.2,8.48
1737.0,1.45,-3.57,8.7
1750.0,1.04,-4.31,9.63
1763.0,0.54,-4.96,10.28
1776.0,0.18,-5.35,10.45
1789.0,0.06,-5.33,10.15
1801.0,0.08,-5.04,9.54
1814.0,0.2,-4.63,9.08
1827.0,0.53,-4.34,9.06
1840.0,0.68,-4.19,9.25
1853.0,0.77,-4.18,9.54
1866.0,1.07,-4.1,9.63
1879.0,1.24,-4.04,9.64
1891.0,1.63,-3.91,9.66
1904.0,1.82,-3.41,9.4
1917.0,2.51,-3.46,9.59
1930.0,2.33,-3.4,9.89
1943.0,1.96,-3.16,9.56
1956.0,1.43,-2.65,8.6
1969.0,1.06,-2.45,8.25
1982.0,0.65,-2.27,8.35
1994.0,0.52,-2.06,8.29
2007.0,0.53,-1.89,8.11
2020.0,0.27,-2.01,8.33
2033.0,0.32,-2.15,8.92
2046.0,0.77,-1.85,9.39
2059.0,1.2,-1.31,9.48
2072.0,1.42,-0.83,9.84
2084.0,1.52,-0.24,10.03
2097.0,1.37,0.32,9.82
2110.0,1.14,0.64,9.85
2123.0,0.56,0.84,9.59
2136.0,0.32,1.04,9.39
2149.0,0.55,1.29,10.19
2161.0,0.86,1.59,10.87
2174.0,1.08,1.97,11.3
2187.0,1.21,2.18,11.9
2200.0,0.99,2.42,12.07
2213.0,0.89,2.77,12.17
2226.0,0.75,2.91,12.58
2238.0,0.6,2.99,13.05
2251.0,0.35,3.1,13.3
2264.0,0.11,3.22,13.26
