timestamp,accX,accY,accZ
2.0,-0.67,-5.24,8.37
15.0,0.04,-3.93,6.8
28.0,0.88,-4.28,8.19
41.0,1.7,-4.11,8.61
54.0,2.4,-3.81,8.92
67.0,2.55,-3.8,9.7
79.0,1.92,-4.05,9.96
92.0,0.81,-4.18,9.2
105.0,0.24,-4.05,8.0
118.0,0.43,-3.95,8.15
131.0,1.14,-3.91,9.21
144.0,1.56,-3.76,10.09
157.0,1.4,-3.49,10.86
169.0,1.42,-3.3,10.83
182.0,0.85,-2.56,9.87
195.0,0.51,-1.77,9.03
208.0,0.31,-1.15,8.89
221.0,0.38,-0.57,8.8
234.0,0.46,-0.08,9.24
247.0,0.43,0.14,10.18
259.0,0.5,0.55,10.64
272.0,0.4,1.14,10.71
285.0,0.27,1.67,10.6
298.0,0.07,2.31,10.35
311.0,0.07,2.67,10.35
324.0,-0.06,2.92,10.49
336.0,-0.19,3.41,9.94
349.0,-0.33,3.74,9.81
362.0,-0.21,3.87,10.46
375.0,0.38,4.07,11.7
388.0,0.65,4.1,12.67
401.0,0.15,3.86,13.16
414.0,-0.61,3.52,13.17
426.0,-1.95,2.93,12.98
439.0,-3.0,2.24,12.94
452.0,-3.41,1.74,13.23
465.0,-3.26,1.54,13.42
478.0,-2.98,1.53,13.33
491.0,-2.63,1.72,12.85
504.0,-2.19,1.93,12.23
516.0,-1.9,1.66,12.43
529.0,-1.52,1.18,13.09
542.0,-1.31,0.94,13.2
555.0,-1.25,0.73,13.02
568.0,-1.29,0.66,12.58
581.0,-1.08,1.02,11.6
594.0,-0.41,1.23,11.06
606.0,0.33,1.28,10.56
619.0,1.37,1.22,10.44
632.0,2.27,1.19,10.22
645.0,2.95,1.38,10.03
658.0,2.96,1.39,9.57
671.0,2.28,0.89,9.09
683.0,1.45,0.09,8.8
696.0,0.98,-0.58,8.79
709.0,0.88,-1.23,9.03
722.0,0.67,-1.83,9.31
735.0,0.12,-2.36,9.23
748.0,-0.56,-2.99,9.15
761.0,-0.66,-3.31,9.06
773.0,-0.28,-3.2,8.58
786.0,0.07,-3.17,8.12
799.0,-0.01,-3.46,8.34
812.0,-0.23,-3.95,8.82
825.0,-0.08,-4.45,8.6
838.0,0.14,-5.05,9.33
851.0,0.12,-5.79,10.29
864.0,-0.36,-6.33,10.52
876.0,-0.92,-6.7,10.31
889.0,-1.08,-6.67,9.65
902.0,-0.95,-6.45,9.17
915.0,-0.64,-6.45,9.48
928.0,-0.55,-6.56,9.79
941.0,-0.66,-6.73,10.35
954.0,-0.9,-6.76,10.83
967.0,-0.86,-6.45,10.44
979.0,-0.63,-6.1,10.14
992.0,-0.57,-5.79,9.71
1005.0,-0.83,-5.86,9.45
1018.0,-0.55,-5.89,9.67
1031.0,0.26,-5.44,9.42
1044.0,1.24,-4.82,9.41
1057.0,1.88,-4.23,9.42
1069.0,2.06,-3.66,9.05
1082.0,1.82,-2.96,8.31
1095.0,1.28,-2.41,7.76
1108.0,0.81,-2.04,7.29
1121.0,0.9,-1.4,6.6
1134.0,1.33,-0.78,6.72
1147.0,1.99,-0.51,7.87
1159.0,2.13,-0.33,8.61
1172.0,1.64,-0.09,8.65
1185.0,0.72,0.21,7.63
1198.0,0.08,0.43,7.41
