timestamp,accX,accY,accZ
2.0,1.04,-3.14,8.38
15.0,1.12,-2.4,7.24
28.0,1.59,-2.68,9.51
41.0,1.35,-2.31,10.13
54.0,1.04,-1.88,10.3
67.0,0.57,-1.46,10.49
79.0,0.02,-1.05,10.73
92.0,-0.47,-0.74,10.73
105.0,-0.58,-0.25,10.87
118.0,-0.26,0.42,11.54
131.0,0.16,0.99,12.3
144.0,0.98,1.74,13.08
156.0,1.89,2.86,13.34
169.0,1.99,3.47,13.51
182.0,1.88,3.76,13.96
195.0,1.24,3.86,13.75
208.0,0.42,3.93,13.31
221.0,-0.2,4.02,13.15
234.0,-1.02,3.81,13.31
246.0,-1.76,3.54,13.29
259.0,-2.06,3.35,13.32
272.0,-2.05,3.14,13.54
285.0,-1.76,3.05,13.32
298.0,-1.53,2.91,13.15
311.0,-1.29,2.93,12.62
324.0,-1.09,2.99,12.04
336.0,-0.84,3.03,11.51
349.0,-0.6,3.14,10.82
362.0,-0.26,3.18,10.63
375.0,-0.06,2.79,10.9
388.0,-0.21,2.4,10.71
401.0,-0.42,2.11,9.96
414.0,-0.21,2.12,9.05
426.0,0.28,2.41,8.09
439.0,1.13,2.73,7.36
452.0,2.0,2.78,7.74
465.0,2.47,2.1,9.15
478.0,2.3,1.05,10.61
491.0,1.57,0.04,10.74
503.0,0.73,-0.7,10.2
516.0,0.33,-1.23,9.63
529.0,0.69,-1.51,9.22
542.0,1.47,-1.76,9.73
555.0,2.12,-2.3,10.64
568.0,2.14,-2.89,11.01
581.0,1.61,-3.39,10.19
593.0,0.78,-3.94,9.21
606.0,0.19,-4.61,8.25
619.0,0.08,-4.79,7.64
632.0,1.14,-4.13,7.06
645.0,2.16,-3.56,7.31
658.0,2.52,-3.62,8.12
671.0,1.59,-4.54,9.11
683.0,0.15,-6.05,10.15
696.0,-0.95,-7.16,10.85
709.0,-1.68,-7.61,10.39
722.0,-1.61,-7.53,10.12
735.0,-0.77,-7.15,10.22
748.0,0.04,-6.79,10.47
761.0,0.52,-6.47,10.55
774.0,0.39,-6.26,10.21
786.0,0.19,-6.02,9.67
799.0,0.12,-5.69,9.42
812.0,0.15,-5.21,8.95
825.0,0.43,-4.6,8.43
838.0,0.79,-4.3,8.58
851.0,1.07,-4.17,8.93
864.0,1.11,-4.08,9.17
876.0,1.0,-3.95,9.24
889.0,0.66,-3.84,9.37
902.0,0.15,-3.71,9.24
915.0,-0.5,-3.56,9.07
928.0,-0.94,-3.26,8.66
941.0,-0.88,-2.76,8.43
954.0,-0.74,-2.42,8.96
966.0,-0.56,-2.15,9.48
979.0,-0.35,-1.79,9.57
992.0,-0.3,-1.37,9.36
1005.0,-0.1,-0.7,8.85
1018.0,0.35,-0.04,8.84
1031.0,0.68,0.48,9.29
1044.0,0.81,0.82,9.93
1057.0,0.53,1.1,10.11
1069.0,-0.08,1.28,10.01
1082.0,-0.31,1.66,9.57
1095.0,-0.13,2.08,9.81
1108.0,0.26,2.38,10.46
1121.0,0.7,2.71,11.31
1134.0,0.83,3.02,11.74
1146.0,1.19,3.56,11.94
1159.0,1.22,4.11,12.16
1172.0,1.2,4.21,12.9
1185.0,0.87,4.27,13.0
1198.0,0.37,4.28,12.65
1211.0,-0.21,4.05,12.92
1224.0,-0.72,3.71,13.26
1236.0,-1.16,3.47,13.22
1249.0,-1.39,3.35,12.75
1262.0,-1.36,3.29,12.2
1275.0,-1.01,3.22,12.1
1288.0,-0.47,3.09,12.58
1301.0,-0.01,2.9,12.67
1314.0,0.2,2.77,12.22
1326.0,0.12,2.62,11.43
1339.0,0.01,2.35,10.73
1352.0,0.18,2.2,10.36
1365.0,0.62,2.24,10.14
1378.0,1.35,2.51,9.82
1391.0,2.14,3.03,9.27
1403.0,2.69,3.4,8.77
1416.0,2.92,3.41,8.55
1429.0,2.69,3.03,8.66
1442.0,2.43,2.29,9.11
1455.0,2.01,1.54,9.57
1468.0,1.81,1.0,9.9
1480.0,1.55,0.56,9.6
1493.0,1.43,-0.06,9.63
1506.0,1.45,-0.69,9.81
1519.0,1.19,-1.41,9.95
1532.0,0.72,-1.89,9.68
1545.0,0.12,-2.51,9.22
1558.0,-0.24,-3.04,9.27
1570.0,-0.04,-3.35,9.34
1583.0,0.39,-3.62,9.46
1596.0,0.74,-3.82,9.9
1609.0,0.81,-4.14,10.1
1622.0,0.3,-4.6,10.12
1635.0,-0.28,-5.03,9.8
1648.0,-0.73,-5.36,9.38
1661.0,-0.63,-5.51,9.0
1673.0,0.23,-5.17,8.51
1686.0,1.23,-4.64,8.71
1699.0,1.63,-4.55,8.94
1712.0,1.46,-4.59,8.79
1725.0,0.78,-5.09,8.97
1738.0,0.03,-5.77,9.36
1751.0,-0.42,-6.2,9.5
1763.0,-0.79,-6.35,9.56
1776.0,-1.02,-6.18,9.27
1789.0,-0.79,-5.72,8.92
1802.0,-0.25,-5.1,8.46
1815.0,0.48,-4.59,8.19
1828.0,1.44,-4.22,8.45
1841.0,2.07,-4.0,8.63
1853.0,2.36,-3.83,8.62
1866.0,2.6,-3.7,8.49
1879.0,2.25,-3.73,8.66
1892.0,1.7,-3.58,8.32
1905.0,1.23,-3.26,7.7
1918.0,0.9,-3.06,7.57
1931.0,0.91,-2.64,7.62
1943.0,0.97,-2.56,8.32
1956.0,0.71,-2.59,8.88
1969.0,0.6,-2.28,8.88
1982.0,0.83,-1.66,9.01
1995.0,0.93,-1.2,9.45
2008.0,1.01,-0.66,10.09
2021.0,0.87,-0.33,10.95
2033.0,0.59,0.07,11.3
2046.0,0.17,0.65,11.34
2059.0,-0.18,1.39,10.81
2072.0,-0.4,1.85,10.75
2085.0,-0.49,2.09,11.19
2098.0,-0.35,2.32,11.74
2111.0,0.02,2.81,12.19
2123.0,0.3,3.23,12.39
2136.0,0.46,3.62,12.42
2149.0,0.63,3.76,12.93
2162.0,0.56,3.57,13.46
2175.0,0.35,3.33,13.75
2188.0,0.89,3.36,14.14
2201.0,0.85,3.58,13.64
2213.0,0.95,3.65,13.4
2226.0,1.07,3.83,12.84
2239.0,1.27,4.02,12.33
2252.0,1.51,3.88,12.36
2265.0,1.66,3.66,12.38
2278.0,1.58,3.45,11.93
2290.0,1.44,3.31,11.32
2303.0,1.27,3.38,10.41
2316.0,1.11,3.61,9.55
2329.0,1.27,3.99,8.97
2342.0,1.55,4.2,9.1
2355.0,1.69,3.92,9.5
2367.0,1.58,3.32,9.73
2380.0,1.47,2.49,10.16
2393.0,1.46,1.85,10.53
2406.0,1.7,1.5,10.65
2419.0,1.98,1.26,10.55
2432.0,2.24,1.16,10.09
2445.0,2.5,1.14,9.52
2457.0,2.95,0.86,9.66
2470.0,3.15,0.39,10.41
2483.0,3.26,-0.0,10.46
2496.0,2.87,-0.34,9.85
2509.0,2.62,-0.38,8.96
2522.0,2.69,-0.43,8.7
2534.0,2.65,-0.78,8.9
2547.0,2.28,-1.64,9.51
2560.0,1.3,-2.97,10.31
2573.0,0.08,-3.96,10.12
2586.0,-0.54,-4.36,9.49
2599.0,-0.23,-4.36,9.26
2612.0,0.92,-3.7,9.04
2625.0,1.54,-3.51,9.64
2637.0,1.18,-4.03,10.33
2650.0,0.17,-4.81,10.18
2663.0,-0.79,-5.41,10.25
2676.0,-1.17,-5.63,9.88
2689.0,-0.73,-5.3,9.56
2702.0,0.19,-5.01,10.1
2715.0,0.79,-4.83,10.41
2727.0,0.99,-4.76,10.23
2740.0,0.98,-4.7,9.81
2753.0,0.94,-4.56,9.26
2766.0,0.92,-4.55,8.94
2779.0,1.01,-4.54,8.9
2792.0,1.26,-4.45,8.71
2805.0,1.53,-4.51,8.67
2817.0,1.93,-4.61,9.15
2830.0,2.29,-4.71,9.52
2843.0,2.55,-4.74,9.84
2856.0,2.71,-4.5,9.76
2869.0,2.71,-4.13,9.36
2882.0,2.47,-3.6,8.7
2895.0,1.81,-3.4,8.44
2907.0,0.76,-3.46,8.43
2920.0,-0.14,-3.33,8.12
2933.0,-0.53,-2.88,7.77
2946.0,-0.58,-2.25,7.35
2959.0,-0.54,-1.63,7.18
2972.0,-0.53,-1.16,7.54
2985.0,-0.41,-0.53,7.66
2998.0,-0.17,0.08,8.07
